neighbourhood_group,neighbourhood,room_type,minimum_nights,price
1,11,1,1,268
1,8,1,5,285
1,7,1,3,175
2,87,1,1,70
1,28,0,10,90
1,11,1,1,125
1,23,1,2,175
1,2,1,4,77
0,73,0,1,50
0,21,0,2,48
0,21,0,2,50
0,79,0,3,39
0,21,0,3,45
0,6,0,5,60
1,9,1,1,1500
0,6,0,3,32
1,2,0,1,25
1,7,1,3,400
0,6,1,2,225
2,46,0,1,70
1,7,1,30,70
0,12,1,3,500
0,6,1,30,65
1,7,0,1,150
0,21,0,1,30
0,79,0,1,60
0,10,1,6,90
2,56,0,7,95
0,22,1,2,62
1,52,0,3,125
0,15,1,7,90
1,2,0,3,85
0,21,0,7,50
0,12,0,6,71
1,7,0,1,120
1,14,1,3,159
0,12,0,2,150
0,10,0,2,87
1,7,1,2,799
0,24,0,7,65
1,18,1,4,100
0,97,1,2,175
1,2,0,3,68
1,27,0,3,49
4,141,1,1,80
1,8,0,3,72
2,25,1,2,100
0,22,0,2,68
0,21,0,2,55
1,8,0,2,150
2,94,2,1,30
2,25,1,2,650
0,17,1,2,175
1,2,0,6,65
0,0,1,13,93
0,10,1,7,195
0,21,0,3,50
1,48,1,1,649
0,21,1,2,250
1,18,0,2,80
0,20,1,1,124
1,2,0,1,125
1,28,0,100,80
1,30,1,5,100
1,5,1,30,139
1,2,0,2,100
2,25,0,5,65
0,6,1,2,75
0,79,1,1,10
1,52,0,5,80
1,14,1,5,349
1,8,0,2,60
0,3,0,2,55
2,56,0,11,85
0,17,0,14,75
1,19,1,1,192
0,12,0,30,58
1,51,0,7,120
1,2,0,2,65
0,6,0,1,109
0,20,1,3,115
0,12,1,2,120
0,6,0,3,55
1,11,1,3,180
0,6,0,2,85
1,14,1,30,120
1,19,1,30,197
2,25,0,20,100
1,23,1,3,104
0,20,1,7,245
1,8,1,30,238
1,11,1,5,800
0,0,0,1,55
0,12,1,31,224
2,129,0,4,50
2,56,0,1,109
0,21,0,7,70
1,28,1,5,150
4,171,1,2,195
2,56,0,2,80
2,39,1,5,130
0,21,0,1,64
2,56,0,7,27
1,14,0,1,120
1,8,0,1,115
0,21,0,5,57
2,103,0,1,59
0,6,0,4,34
0,6,1,2,140
0,6,1,3,125
0,15,1,1,550
1,4,0,3,100
2,49,0,6,50
4,171,1,2,89
0,70,0,1,50
2,103,1,1,99
1,2,1,4,280
1,7,1,2,350
0,20,1,1,350
0,12,1,1,200
0,22,1,3,99
1,4,1,30,200
1,14,0,2,89
0,34,0,1,65
0,12,0,30,68
0,32,0,1,89
2,44,0,2,65
0,6,0,2,120
0,100,1,3,200
1,43,1,2,117
2,39,1,3,180
0,21,0,3,80
1,2,1,2,245
0,16,1,3,150
1,19,0,4,144
0,21,1,6,200
0,54,1,2,100
0,10,0,2,109
1,11,1,14,179
4,88,0,2,50
1,28,1,3,140
1,14,1,29,255
1,26,0,30,40
1,9,1,5,110
1,2,0,3,52
0,100,0,5,33
1,9,0,3,99
0,10,1,2,95
1,8,1,1,165
1,43,1,29,302
1,43,0,1,189
0,24,1,2,128
1,1,1,7,175
0,6,1,2,220
1,52,1,2,150
1,4,0,8,60
1,28,1,2,250
1,7,1,1,175
1,7,1,3,200
1,19,0,4,49
0,12,1,1,169
0,15,1,1,69
2,85,0,4,400
0,20,0,1,90
0,15,1,2,220
3,55,0,2,69
1,1,0,3,108
0,20,1,1,460
1,11,2,2,350
1,4,1,2,100
3,86,1,3,195
1,7,1,20,80
4,57,0,3,40
1,4,1,1,250
1,50,1,4,200
0,22,1,3,75
0,73,0,2,40
1,19,0,1,100
0,12,0,5,50
0,40,0,2,105
